id,repo,state,tempo_analise_horas,descricao_len,num_comentarios,num_review_comments,autor,num_files,additions,deletions,num_participants
2856074404,freeCodeCamp/freeCodeCamp,closed,2.88,215,1,1,jonathimer,1,1,0,1
2853744739,freeCodeCamp/freeCodeCamp,closed,1.06,747,0,2,Giftea,1,1,1,2
2853731069,freeCodeCamp/freeCodeCamp,closed,2.84,850,1,2,ojeytonwilliams,1,7,7,3
2853553356,freeCodeCamp/freeCodeCamp,closed,17.01,1198,1,2,ojeytonwilliams,25,253,1813,3
2853218453,freeCodeCamp/freeCodeCamp,closed,2.9,530,3,0,azad12614,1,1,1,3
2853194005,freeCodeCamp/freeCodeCamp,closed,3.03,525,4,3,Swapnanilb,1,1,1,3
2853058948,freeCodeCamp/freeCodeCamp,closed,1.01,747,0,2,Giftea,1,1,1,2
2851520438,freeCodeCamp/freeCodeCamp,closed,6.83,747,2,2,clarencepenz,1,1,1,3
2851115982,freeCodeCamp/freeCodeCamp,closed,1.31,852,0,1,hritikmittal09,1,3,1,1
2851081108,freeCodeCamp/freeCodeCamp,closed,8.31,879,2,2,l3onhard,1,7,7,3
2850753963,freeCodeCamp/freeCodeCamp,closed,1.56,856,0,0,hritikmittal09,1,3,2,0
2850040263,freeCodeCamp/freeCodeCamp,closed,2.26,1245,0,2,prateekbisht23,1,2,2,2
2849979606,freeCodeCamp/freeCodeCamp,closed,1.88,747,0,2,Giftea,1,1,1,2
2849282694,freeCodeCamp/freeCodeCamp,closed,21.43,45,3,2,camperbot,10,180,40,2
2848933360,freeCodeCamp/freeCodeCamp,closed,3.81,959,3,2,shokuyansh,1,1,1,3
2847820823,freeCodeCamp/freeCodeCamp,closed,7.19,644,5,2,VivekKavala,1,1,1,4
2847514432,freeCodeCamp/freeCodeCamp,closed,9.93,747,0,2,clarencepenz,2,4,4,2
2847514130,freeCodeCamp/freeCodeCamp,closed,35.17,747,0,2,Supravisor,6,6,6,2
2847452925,freeCodeCamp/freeCodeCamp,closed,12.49,747,2,0,vanshsehgal08,1,1,1,1
2847450775,freeCodeCamp/freeCodeCamp,closed,36.36,747,3,0,vanshsehgal08,1,4,2,2
2847399361,freeCodeCamp/freeCodeCamp,closed,14.23,923,1,3,tawfiqkhalilieh,1,2,2,3
2847392586,freeCodeCamp/freeCodeCamp,closed,17.57,851,1,1,a2937,2,6,6,2
2847372327,freeCodeCamp/freeCodeCamp,closed,1.72,747,0,2,Supravisor,1,1,1,2
2847218001,freeCodeCamp/freeCodeCamp,closed,4.91,923,4,0,tawfiqkhalilieh,1,2,2,3
2847086757,freeCodeCamp/freeCodeCamp,closed,1.57,1256,1,0,baleashvar,1,4,0,1
2846656539,freeCodeCamp/freeCodeCamp,closed,15.56,747,0,2,clarencepenz,2,2,2,2
2846228388,freeCodeCamp/freeCodeCamp,closed,5.69,849,1,5,JatinMehta007,1,0,8,3
2845266628,freeCodeCamp/freeCodeCamp,closed,2.52,747,1,0,utkarsheng8318-sudo,1,1,0,1
2844026794,freeCodeCamp/freeCodeCamp,closed,3.27,906,2,2,ojeytonwilliams,6,8,45,4
2843967858,freeCodeCamp/freeCodeCamp,closed,3.61,834,0,1,ojeytonwilliams,1,7,3,1
2843786354,freeCodeCamp/freeCodeCamp,closed,3.14,747,0,2,clarencepenz,2,2,2,2
2843780439,freeCodeCamp/freeCodeCamp,closed,66.0,803,0,3,zairahira,4,351,49,2
2842760852,freeCodeCamp/freeCodeCamp,closed,77.82,843,0,4,Sembauke,11,26,4,2
2841873973,freeCodeCamp/freeCodeCamp,closed,108.44,803,0,3,jdwilkin4,1,60,5,3
2841856200,freeCodeCamp/freeCodeCamp,closed,21.83,1376,0,2,huyenltnguyen,1,207,13,2
2841839904,freeCodeCamp/freeCodeCamp,closed,9.45,962,0,2,huyenltnguyen,1,0,2,2
2841422614,freeCodeCamp/freeCodeCamp,closed,12.47,850,0,3,huyenltnguyen,6,61,37,2
2782830582,codecrafters-io/build-your-own-x,closed,4.19,85,1,0,CodeCrateDev,1,0,1,1
2782250985,codecrafters-io/build-your-own-x,closed,2.9,80,2,0,CodeCrateDev,1,0,1,2
2691698979,codecrafters-io/build-your-own-x,closed,24.76,298,3,1,rv-patel-0131,1,0,5,4
2647265437,codecrafters-io/build-your-own-x,closed,220.61,0,1,0,datvippp,1,0,0,1
2643895889,codecrafters-io/build-your-own-x,closed,93.49,0,4,1,mauromarknazarenofanelli,2,117,0,4
2635300928,codecrafters-io/build-your-own-x,closed,344.3,225,7,0,cabrioleth,1,1,0,2
2608315349,codecrafters-io/build-your-own-x,closed,116.67,0,2,0,mauromarknazarenofanelli,1,21,0,2
2526157265,codecrafters-io/build-your-own-x,closed,2032.0,482,3,1,mugglim,1,1,0,2
2469108303,codecrafters-io/build-your-own-x,closed,917.35,511,4,2,desirelovellcom,1,18,1,3
2456310503,codecrafters-io/build-your-own-x,closed,15.79,1,0,0,Ravien777,0,0,0,0
2454450064,codecrafters-io/build-your-own-x,closed,1.2,512,1,1,maysara-elshewehy,1,1,0,1
2441312922,codecrafters-io/build-your-own-x,closed,19.53,259,1,1,Aston32,2,1,0,1
2425111338,codecrafters-io/build-your-own-x,closed,1.71,353,1,1,sudonam,1,1,0,1
2355867345,codecrafters-io/build-your-own-x,closed,172.44,263,1,0,MachidonMihai,1,1,0,1
2314830994,codecrafters-io/build-your-own-x,closed,673.22,339,2,1,Parag479,1,1,1,2
2261667127,codecrafters-io/build-your-own-x,closed,2.04,0,0,0,Ananya-Addisu,1,1,1,0
2256082513,codecrafters-io/build-your-own-x,closed,155.54,61,0,0,Ishan-Karpe,1,1,1,0
2216510249,codecrafters-io/build-your-own-x,closed,1174.8,34,0,2,bryankeating10,1,1,1,2
2208516088,codecrafters-io/build-your-own-x,closed,1914.49,59,2,0,khaledh,1,1,0,2
2205672108,codecrafters-io/build-your-own-x,closed,170.46,93,6,0,noam-no,1,1,0,3
2104865896,codecrafters-io/build-your-own-x,closed,29.1,12,2,0,Aston32,1,1,0,1
2082909830,codecrafters-io/build-your-own-x,closed,1.02,303,1,0,AryanP45,1,3,0,1
2020975208,codecrafters-io/build-your-own-x,closed,432.61,0,2,0,neuqzxy,1,1,0,2
2017974696,codecrafters-io/build-your-own-x,closed,497.42,0,2,0,MichaelHinrichs,1,2,0,2
2002060469,codecrafters-io/build-your-own-x,closed,57.35,163,1,0,squibbium-235,1,0,1,1
1990783568,codecrafters-io/build-your-own-x,closed,318.12,0,0,0,hommevert,1,1,0,0
1988997208,codecrafters-io/build-your-own-x,closed,4.14,0,0,0,peace-o-g,1,1,0,0
1967983575,codecrafters-io/build-your-own-x,closed,41.04,0,5,0,aman08singh,1,1,1,2
1945367495,codecrafters-io/build-your-own-x,closed,1829.3,143,1,1,egmzy,1,1,0,2
1943056797,codecrafters-io/build-your-own-x,closed,650.7,0,0,0,GifftyCode,1,385,385,0
1939989544,codecrafters-io/build-your-own-x,closed,1222.84,264,0,0,giovanni-iannaccone,1,2,0,0
1905971234,codecrafters-io/build-your-own-x,closed,168.81,13,2,3,davayd,1,1,1,5
1897045296,codecrafters-io/build-your-own-x,closed,63.19,0,0,0,jotavare,1,1,0,0
1819150161,codecrafters-io/build-your-own-x,closed,54.93,93,0,2,zpratikpathak,1,2,0,2
1787070777,codecrafters-io/build-your-own-x,closed,65.28,0,1,0,joaorlima,1,2,2,1
1775926212,codecrafters-io/build-your-own-x,closed,2934.18,926,2,0,R055A,1,1,1,2
1771014289,codecrafters-io/build-your-own-x,closed,11.16,1,1,0,joaorlima,1,1,1,1
1735962296,codecrafters-io/build-your-own-x,closed,14.72,108,1,0,karandeeppotato,1,1,1,1
1731399576,codecrafters-io/build-your-own-x,closed,35.48,183,1,0,aastik7,1,1,1,1
1719224862,codecrafters-io/build-your-own-x,closed,1.92,0,1,0,erwanvivien,1,1,1,1
2845139005,sindresorhus/awesome,closed,6.7,8934,0,0,CleanAmirHosseinDev,1,1,0,0
2826196822,sindresorhus/awesome,closed,1.1,8877,0,0,Froilan-design,1,1,1,0
2788097694,sindresorhus/awesome,closed,1.59,8877,0,0,mroresi,1,1,117,0
2780523216,sindresorhus/awesome,closed,4.41,9386,0,0,obitouka,1,1,0,0
2777755281,sindresorhus/awesome,closed,1.08,295,2,0,sbalnojan,1,1,0,2
